"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","slugTeam","urlPlayerHeadshot"
2016,48,2,18,"Paul Zipser","FC Bayern Muenchen","Other Team/Club",1627835,1610612741,"Chicago Bulls",1,"PRO",NA,"CHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627835.png"
2016,49,2,19,"Michael Gbinije","Syracuse","College/University",1627771,1610612765,"Detroit Pistons",1,"COL",NA,"DET","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627771.png"
2016,50,2,20,"Georges Niang","Iowa State","College/University",1627777,1610612754,"Indiana Pacers",1,"COL",NA,"IND","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png"
2016,51,2,21,"Ben Bentil","Providence","College/University",1627791,1610612738,"Boston Celtics",1,"COL",NA,"BOS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627791.png"
2016,52,2,22,"Joel Bolomboy","Weber State","College/University",1627762,1610612762,"Utah Jazz",1,"COL",NA,"UTA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627762.png"
2016,53,2,23,"Petr Cornelie","Le Mans Sarthe Basket","Other Team/Club",1627822,1610612743,"Denver Nuggets",1,"PRO","France","DEN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627822.png"
2016,54,2,24,"Kay Felder","Oakland","High School",1627770,1610612737,"Atlanta Hawks",1,"HS",NA,"ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627770.png"
2016,55,2,25,"Marcus Paige","North Carolina","College/University",1627779,1610612762,"Utah Jazz",1,"COL",NA,"UTA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627779.png"
2016,56,2,26,"Daniel Hamilton","Connecticut","College/University",1627772,1610612743,"Denver Nuggets",1,"COL",NA,"DEN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627772.png"
2016,57,2,27,"Wang Zhelin","Fujian","Other Team/Club",1627845,1610612763,"Memphis Grizzlies",0,"PRO",NA,"MEM","RESOURCE/default_player.png"
2016,58,2,28,"Abdel Nader","Iowa State","College/University",1627846,1610612738,"Boston Celtics",1,"COL",NA,"BOS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627846.png"
2016,59,2,29,"Isaiah Cousins","Oklahoma","College/University",1627766,1610612758,"Sacramento Kings",1,"COL",NA,"SAC","RESOURCE/default_player.png"
2016,60,2,30,"Tyrone Wallace","California","College/University",1627820,1610612762,"Utah Jazz",1,"COL",NA,"UTA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627820.png"
2015,1,1,1,"Karl-Anthony Towns","Kentucky","College/University",1626157,1610612750,"Minnesota Timberwolves",1,"COL",NA,"MIN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626157.png"
2015,2,1,2,"D'Angelo Russell","Ohio State","College/University",1626156,1610612747,"Los Angeles Lakers",1,"COL",NA,"LAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png"
2015,3,1,3,"Jahlil Okafor","Duke","College/University",1626143,1610612755,"Philadelphia 76ers",1,"COL",NA,"PHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626143.png"
